City,Latitude,Longitude,Temperature,Humidity,Cloudiness,Wind Speed (mph)
Torbay,47.6666,-52.7314,19.670000000000016,73,90,11.32
Carnarvon,-24.8667,113.6333,80.59999999999997,65,0,9.26
Ushuaia,-54.8,-68.3,64.39999999999992,48,40,6.69
Daman,20.4167,72.85,79.96999999999997,28,100,2.41
Tignère,7.3667,12.65,60.00799999999998,28,75,0.62
Leningradskiy,69.3833,178.4167,-28.858000000000004,82,0,1.84
Geraldton,-28.7667,114.6,78.80000000000001,38,0,11.83
Hobart,-42.8794,147.3294,74.06599999999997,40,0,5.14
Voh,-20.9667,164.7,78.11599999999993,75,41,3.83
Vaini,-21.2,-175.2,84.19999999999999,79,20,6.17
Saint George,37.1041,-113.5841,52.033999999999935,37,1,1.42
Laas,46.6166,10.7002,30.18199999999996,69,40,3.6
Ilulissat,69.2167,-51.1,13.999999999999943,62,90,7.2
Chui,-33.6971,-53.4616,68.63000000000005,89,41,4.33
Kisangani,0.5167,25.2,70.71800000000002,66,100,0.19
Taganak,6.0833,118.3,82.20200000000006,83,40,2.57
Honiara,-9.4333,159.95,84.79400000000004,71,99,3.34
Bredasdorp,-34.5322,20.0403,55.39999999999992,94,0,1.54
Jamestown,42.097,-79.2353,16.952000000000055,86,90,2.57
Kapaa,22.0752,-159.319,70.32199999999995,53,20,1.54
Mogadishu,2.0371,45.3438,77.84600000000006,77,83,8.7
Saldanha,-33.0117,17.9442,60.80000000000001,82,0,1.54
Kaitangata,-46.2817,169.8464,55.994000000000085,66,100,5.36
Taoudenni,22.6783,-3.9836,60.83600000000007,27,0,4.44
Saskylakh,71.9167,114.0833,-20.920000000000016,84,0,2.82
Rikitea,-23.1203,-134.9692,78.44,79,2,6.37
Port Elizabeth,-33.918,25.5701,71.59999999999997,94,75,2.06
Puerto Ayora,-0.7393,-90.3518,75.00200000000001,99,68,2.53
Mataura,-46.1927,168.8643,51.44,79,100,5.14
Raja,8.4596,25.678,61.57400000000001,31,91,0.69
Busselton,-33.65,115.3333,66.77600000000001,64,65,3.13
Magdagachi,53.45,125.8,3.829999999999984,93,100,3.77
Arti,56.4234,58.5328,-8.194000000000017,86,73,1.71
Lagoa,39.05,-27.9833,57.90199999999999,66,31,15.73
Matinhos,-25.8175,-48.5428,62.96000000000009,92,45,7.15
Ljungby,56.8332,13.9408,15.926000000000045,92,90,4.12
Kampong Chhnang,12.1667,104.55,85.49600000000004,42,75,3.7
Tomatlán,19.9333,-105.25,61.23200000000003,91,0,0.45
Yellowknife,62.456,-114.3525,-17.391999999999996,83,40,2.57
Albany,42.6001,-73.9662,20.19199999999995,47,100,0.84
Tete,-16.1564,33.5867,76.99999999999994,94,40,0.95
Verkhoyansk,67.5447,133.385,-13.108000000000004,83,72,0.9
Severo-Kuril'sk,50.6789,156.125,27.24799999999999,97,100,10.43
George Town,5.4112,100.3354,83.93,83,40,1.07
Caravelas,-17.7125,-39.2481,74.49799999999999,88,57,1.5
Mahébourg,-20.4081,57.7,82.99400000000009,66,24,4.02
Punta Arenas,-53.15,-70.9167,55.202000000000055,88,75,4.12
Tautira,-17.7333,-149.15,78.80000000000001,69,75,4.63
Harper,4.375,-7.7169,78.368,88,55,2.87
La Ronge,55.1001,-105.2842,-28.30000000000001,62,89,1.54
Cayenne,4.9333,-52.3333,75.19999999999999,100,90,0.51
Husavik,66.0449,-17.3389,17.599999999999966,93,75,4.74
San Patricio,28.017,-97.5169,54.80599999999998,94,90,5.66
Iki-Burul,45.8208,44.6472,39.09199999999993,87,17,7.0
Kangaatsiaq,68.3065,-53.4641,13.02800000000002,94,57,6.89
Tuatapere,-46.1333,167.6833,51.44,84,100,5.36
Port Lincoln,-34.7333,135.8667,72.55400000000003,64,100,5.02
Krasnosel'kup,65.7,82.4667,-22.82800000000003,86,98,2.58
Atuona,-9.8,-139.0333,78.74600000000004,80,3,8.28
Lata,40.1629,-8.3327,56.33600000000007,94,100,0.45
Cedar City,37.6775,-113.0619,39.19999999999993,56,1,1.54
Barrow,71.2906,-156.7887,-41.80000000000001,84,1,4.63
Souillac,-20.5167,57.5167,82.99400000000009,66,26,4.02
Laurel,39.0993,-76.8483,32.64799999999997,100,90,2.95
West Des Moines,41.572,-93.7453,3.326000000000022,56,1,2.06
Bowen,-20.0167,148.2333,80.59999999999997,78,40,4.12
Flin Flon,54.7682,-101.865,-30.927999999999997,84,84,2.39
Dauphin,51.1494,-100.0502,-22.0,63,1,3.6
Longyearbyen,78.2186,15.6401,4.999999999999943,66,75,9.26
Esperance,-33.8667,121.9,66.19999999999999,55,90,7.72
Marfino,55.7028,37.3822,4.531999999999982,78,75,2.0
Cockburn Town,21.4612,-71.1419,76.6760000000001,76,0,8.07
Kapoeta,4.7717,33.5903,82.61599999999993,33,100,4.08
Punta Umbría,37.1821,-6.9661,58.46000000000009,89,58,1.34
Port Alfred,-33.5906,26.891,73.00399999999996,94,25,2.93
Hilo,19.7297,-155.09,67.92800000000005,64,1,2.57
Vilhena,-12.7406,-60.1458,69.18800000000005,99,100,1.0
Port Macquarie,-31.4333,152.9167,76.99999999999994,47,29,4.63
Alofi,-19.0595,-169.9187,84.19999999999999,74,100,3.6
Yumen,40.2833,97.2,38.426000000000045,61,76,5.07
Ostrovnoy,68.0531,39.5131,0.9679999999999609,92,55,5.56
East London,-33.0153,27.9116,71.59999999999997,94,0,3.09
Taltal,-25.4,-70.4833,63.68000000000001,75,7,0.07
Bengkulu,-3.8004,102.2655,84.70400000000001,65,55,3.39
Rincon,32.296,-81.2354,56.678000000000054,94,90,2.57
Tiksi,71.6872,128.8694,-12.748000000000047,88,15,0.89
Shelburne,44.0787,-80.2041,13.44199999999995,86,100,2.97
Fuyang,32.9,115.8167,61.664000000000044,49,18,3.28
Hasaki,35.7333,140.8333,54.103999999999985,24,20,7.72
Nikolskoye,59.7035,30.7861,4.244000000000028,78,75,2.0
Petawawa,45.9001,-77.3328,7.430000000000007,78,75,1.03
Woodland,38.6785,-121.7733,54.428000000000054,72,1,2.57
Sault Ste. Marie,46.5168,-84.3333,3.146000000000015,72,1,1.54
Bluff,-46.6,168.3333,52.71800000000002,83,100,11.64
Hermanus,-34.4187,19.2345,66.9919999999999,88,4,2.68
Mandera,3.9366,41.867,76.42399999999992,62,93,5.53
Castro,-24.7911,-50.0119,60.78199999999998,96,100,2.99
Dingle,10.9995,122.6711,85.01000000000005,73,32,2.71
Coos Bay,43.3665,-124.2179,42.926000000000045,100,75,1.54
Saint Paul Harbor,57.79,-152.4072,37.39999999999998,70,90,15.43
Arni,12.6667,79.2833,78.80000000000001,45,79,2.59
Gallup,35.5281,-108.7426,39.75799999999998,45,90,2.4
Qaqortoq,60.7167,-46.0333,33.799999999999955,27,75,14.4
Portland,45.5234,-122.6762,39.902000000000044,65,94,0.68
Santa Cruz,30.4202,-9.5982,51.799999999999955,100,20,2.06
Plymouth,41.8334,-70.8328,21.95599999999996,86,90,1.72
Hong Kong,22.2855,114.1577,65.91199999999998,77,5,1.85
New Norfolk,-42.7826,147.0587,75.07400000000001,30,97,0.45
Hambantota,6.1241,81.1185,82.39999999999992,69,40,3.09
Mar del Plata,-38.0023,-57.5575,67.99999999999994,88,90,7.2
Balabac,7.9868,117.0645,83.37200000000001,71,10,3.92
Thompson,55.7435,-97.8558,-29.19999999999999,75,40,2.57
Dikson,73.5069,80.5464,-22.791999999999973,86,1,1.61
Aklavik,68.2191,-135.0107,-25.600000000000023,75,0,2.06
Garissa,-0.4536,39.6401,76.71200000000005,71,65,2.78
Tuktoyaktuk,69.4541,-133.0374,-23.80000000000001,76,1,7.2
Sitka,57.0531,-135.33,22.999999999999943,50,1,3.09
Soller,39.7662,2.7152,44.636000000000024,93,20,1.54
Deputatsky,69.3,139.9,-20.488,90,83,0.96
Kropotkin,45.4375,40.5756,46.00400000000002,79,69,5.13
Hutchinson,38.0608,-97.9298,12.073999999999955,67,90,6.69
Bizhbulyak,53.6967,54.2642,4.406000000000006,94,100,4.58
Constitución,-35.3333,-72.4167,61.646000000000015,92,38,1.09
Itarema,-2.9248,-39.9167,79.46599999999995,84,87,4.3
Abonnema,4.7084,6.7931,73.39999999999992,100,20,1.06
